"","mag","avg_afters"
"1",4,0.0409015025041736
"2",4.1,0.0526577247888723
"3",4.2,0.0567214974475326
"4",4.3,0.0814814814814815
"5",4.4,0.112736660929432
"6",4.5,0.125950054288817
"7",4.6,0.150845253576073
"8",4.7,0.1828125
"9",4.8,0.234927234927235
"10",4.9,0.282110091743119
"11",5,0.371681415929204
"12",5.1,0.338235294117647
"13",5.2,0.523076923076923
"14",5.3,0.43312101910828
"15",5.4,0.715384615384615
"16",5.5,0.56140350877193
"17",5.6,0.705882352941177
"18",5.7,0.625
"19",5.8,0.672131147540984
"20",5.9,1.04444444444444
"21",6,0.738095238095238
"22",6.1,1.11764705882353
"23",6.2,2.4
"24",6.3,1.625
"25",6.4,0.8
"26",6.5,1.1
"27",6.6,7.75
"28",6.7,3.71428571428571
"29",6.8,3.6
"30",6.9,13.5
"31",7,10.5
"32",7.1,12.25
"33",7.2,18.5
"34",7.3,27
"35",7.4,3
"36",7.5,36
"37",7.6,1
"38",7.8,79
"39",7.9,45
"40",8.7,507
